comment,comment_likes,replies,user_name,date
dis looks cool dis is the best song ever,1,[],@user-my2ch2wi1n,2024-02-09T14:08:13Z
"I came from HANS GAME with QR. Hi AT0M, you are torture me 🥴",1,[],@CanGuzell,2024-02-09T14:07:00Z
Lol i accidentally pressed this video 😂,1,[],@nikaellaaa,2024-02-09T13:59:25Z
"Vãi, vào link thấy cái ông thiên đàng nhãy😂Đúng nhận sai cãi giúp mình
👇👇👇👇",1,[],@user-gc8ru4dp5b,2024-02-09T13:53:54Z
Helldivers 2 sent me here :(,1,[],@Xertic94,2024-02-09T13:53:13Z
"Okay, someone got rickrolled and then rickroll more to get 2 BILLION VIEWS!",0,[],@user_jovandrisusanto,2024-02-09T13:37:06Z
I got this from a qr code😂,0,[],@Aunknown10,2024-02-09T13:27:39Z
NEVER GONNA GIVE YOU UP,0,[],@SMiLe-AlWaYsYay-ri6fj,2024-02-09T13:23:39Z
Fuck,0,[],@patrykmpkroblox6884,2024-02-09T13:13:11Z
Ты Куку е то песня у самого о робуксов а у меня 122220😂😂😂😂❤❤❤❤❤❤,0,[],@user-yv3yx7rq7j,2024-02-09T13:10:43Z
.,1,"['𝙷𝚒', 'Hello\u200b@@tahiyajahan8583']",@KickingKarens,2024-02-09T13:10:10Z
i got rickrolled.-.,1,['LOL😂'],@user-jq9ye7su5y,2024-02-09T12:44:13Z
Спасибо 1xBet,3,[],@mozay7116,2024-02-09T12:44:08Z
BRUH,0,[],@user-jq9ye7su5y,2024-02-09T12:43:38Z
1.5 Billion views from getting rickrolled,0,[],@bwp2bruce,2024-02-09T12:39:07Z
amazing,0,[],@RyanG-ij8xq,2024-02-09T12:36:49Z
ААААА МЕНЯ ЗАРИКРОЛИЛИ,2,[],@ananasnic,2024-02-09T12:35:47Z
"Hold up, how is this supposed to tell me where old york is?",0,[],@zebean1839,2024-02-09T12:31:20Z
15億回再生するとはスゲー！,0,[],@syohey2902,2024-02-09T12:20:57Z
I get a similar link in the discord every day,0,[],@Cat_Maxwell,2024-02-09T12:20:25Z
I scanning a qr code and got teleport to here😭,0,[],@xemphamvan7055,2024-02-09T12:19:16Z
0:02 yo amam berry cherry,0,[],@Melonplayground2dofficial,2024-02-09T12:11:35Z
0:01 yo mama,0,[],@Melonplayground2dofficial,2024-02-09T12:11:01Z
We approve of this song.,1,[],@fbi-50247,2024-02-09T12:06:52Z
he rick roll you,0,[],@JuliaRobison-rg1vj,2024-02-09T11:26:21Z
How to kill Rick Ashly: *Rickroll him*,0,[],@sasha-leekotze9960,2024-02-09T11:24:48Z
Ricroll,0,[],@user-rb5po5eg7x,2024-02-09T11:23:02Z
"my bff send me this and she said ""click here to see something amazing""",0,[],@minzawthein1985,2024-02-09T11:17:43Z
My friend sent me this just now.,0,[],@lpsnaurupetshops,2024-02-09T11:13:55Z
how can I even be mad when I get to listen to this masterpiece for 3 minutes?,0,[],@Dazeja5,2024-02-09T11:10:40Z
Ad saved me,0,[],@stevenisready978,2024-02-09T11:10:35Z
Shout out to my teacher making this a qr code and telling us it was our quiz -_-,1,[],@honkityhonk3539,2024-02-09T10:57:01Z
My whole life :never gonna give you up,1,[],@vijaysaroya4407,2024-02-09T10:52:07Z
rick roll,1,[],@nerdgirlfromohio,2024-02-09T10:50:18Z
https://youtu.be/4HkO5P7gZuI?si=Hr1Irc_aee5_rvoK,1,['хаха'],@user-cf8mp9en8o,2024-02-09T10:47:18Z
Waos,0,[],@YTSTISHGAMER12,2024-02-09T10:46:01Z
"Stop Asking Who’s Still Listening!.-

We Never Stop Listening To This MASTERPIECE!!.",0,[],@ailo8625,2024-02-09T10:41:12Z
Аниме топ♡♡♡,0,[],@green-i,2024-02-09T10:25:45Z
"I was listening to Sabrina Carpeten and this song was next, and when it started  I got rickrolled 😢😢😢",0,[],@Filofgamer,2024-02-09T10:21:25Z
Это не работает !!!!!!,0,[],@user-rq1rj3we3u,2024-02-09T10:16:15Z
"I was playing brawl stars offline and i got this by pressing ""source code""......
Good trick S.B.",0,[],@svieta8043,2024-02-09T09:42:55Z
Rickroll,0,[],@user-pw1zd3ih9o,2024-02-09T09:40:18Z
ブラボー👏🤩アメイジング！,0,[],@user-ob5iv7kt1z,2024-02-09T09:29:22Z
"My professor sent us this link as ""The final exam paper"" Just 1 hour before exam",0,[],@raika7236,2024-02-09T08:48:42Z
Day 963 of getting Rickrolled Everyday,1,[],@MegaNexas,2024-02-09T08:38:06Z
НЕ ВЕРТЕ ЄТО РИКРОЛ,0,[],@Jo-xi5cn,2024-02-09T08:21:16Z
THIS IS NOT DRAKES N*DES!! Wth,0,[],@DarthCorgious,2024-02-09T08:10:43Z
